PMCID,female,male,female_percentage,male_percentage
PMC115847,6,2,,
PMC137610,,,,
PMC149367,,,,
PMC150574,40,10,,
PMC151601,,48,,
PMC165597,6,,,
PMC293422,47,546,,
PMC387829,38,52,,
PMC420494,100,,,
PMC517943,15,20,,
PMC518963,83,,,
PMC521084,7,13,,
PMC521483,16,3279,,72
PMC524506,30,,,
PMC535568,20,52,,
PMC543574,,504,,
PMC545959,,,,
PMC546166,33,25,,
PMC546216,72,,,
PMC546286,,,,
PMC547905,186,27271,,
PMC548680,,,,
PMC552306,36,,,
PMC553998,1,7,,
PMC554978,17,,,
PMC555580,2,10,,
PMC555760,,15,,
PMC1064136,52,,,
PMC1079843,,,47,53
PMC1082910,49,,,
PMC1090550,0,1,,
PMC1097743,160,,,
PMC1180849,5,1,,
PMC1187904,38,37,,
PMC1188074,42,,,
PMC1199624,6,4,,
PMC1201690,,,,66
PMC1215516,105,,,
PMC1215522,102,,,
PMC1242236,70,16,,
PMC1242355,39,,,
PMC1247564,629,,,
PMC1253712,,,,
PMC1257549,24,,,
PMC1262718,23,3,,
PMC1262771,34,,,
PMC1274317,155,186,,
PMC1278480,387,,,
PMC1280339,,,,
PMC1297497,23,32,,
PMC1297563,105,,,
PMC1297568,31,13,,
PMC1298939,75,,,
PMC1310929,813,,,
PMC1327668,47,28,,
PMC1343556,,42,,
PMC1367828,20,18,,
PMC1369006,12,16,,
PMC1373655,3,2,,
PMC1373666,,12,,
PMC1386661,6,4,,
PMC1388223,498,,,
PMC1397829,,,,
PMC1402301,15,65,,
PMC1402331,71,57,,
PMC1413548,,,,
PMC1413567,122,94,,
PMC1413992,15,,,
PMC1431561,1273,,,
PMC1456997,6,4,,
PMC1457005,397,202,,
PMC1459869,1,19,,
PMC1464119,164,225,,
PMC1475587,,,,
PMC1475653,,,,
PMC1479811,3,4,,
PMC1480481,797,727,,
PMC1481512,,,,
PMC1481591,10,6,,
PMC1501117,8,,,
PMC1513255,,,,
PMC1513341,820,,,
PMC1524733,1,9,,
