article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Slager                 Susan L.,,BMC Bioinformatics,1471-2105,BioMed Central,Research Article,The missing indels: an estimate of indel variation in a human genome and analysis of factors that impede detection,Tian                    Shulan,4,,2015,"http://dx.doi.org/10.13039/100000002, National Institutes of Health, CA118444, Mayo CCaTS grant, UL1TR000135",Mayo CCaTS grant,UL1TR000135,PMC5048557, ,
research-article,Devi                 Runi,,Indian Journal of Endocrinology and Metabolism,2230-9500,Medknow Publications & Media Pvt Ltd,Original Article,Prediction of declining renal function and albuminuria in patients with type 2 diabetes by metabolomics,Agarwal                    Sandeep Kumar,4,"Department of Endocrinology, Gauhati Medical College and Hospital, Guwahati, Assam, India",2016,,,,PMC6085973, ,
research-article,Li,,Ieee Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2151-1535,Futures Daily,Cloud Computing in Google Earth Engine for Remote Sensing,Spring investigation of sugarcane planting in Guangxi in 2020,,9,,2019,"10.13039/501100001809, National Natural Science Foundation of China, 42030111, 10.13039/501100002367, Chinese Academy of Sciences, XDA19090112, This work was supported in part by the National Natural Science Foundation of China under Grant 42030111 and in part by the Strategic Priority Research Program of the Chinese Academy of Sciences under Grant XDA19090112.",Nanjing Agricultural Univ.,XDA19090112,PMC8545057, ,China
brief-report,Osorio                 Fabiola,,European Journal of Immunology,1521-4141,John Wiley and Sons Inc.,Basic,Guidelines for the use of flow cytometry and cell sorting in immunological studies (third edition),García‐González                    Paulina,5,,2021,"The Howard Hughes Medical Institute ‐ International Research Scholar, 55008744, FONDECYT (Fondo Nacional de Desarrollo Científico y Tecnológico), 1200793",Clinical Hospital of University of Chile,1200793,PMC9541385, ,Chile
research-article,Sicotte                 Claude,,BMC Health Services Research,1472-6963,"Thousand Oaks, CA: Sage Publications",Study Protocol,"Use of virtual slide system for quick frozen intra-operative telepathology diagnosis in Kyoto, Japan",Trudel                    Marie-Claude,4,,2008,,,,PMC3324388, ,
research-article,Falk                 Martin,,Computational and Structural Biotechnology Journal,2001-0370,Humana Press,Research Article,ATM signaling facilitates repair of DNA double-strand breaks associated with heterochromatin,Vicar                    Tomas,7,,2008,,,,PMC8668444, ,
research-article,Devries                 Karen,,Child Abuse & Neglect,1873-7757,World Health Organization,Research Article,ISPCAN Child Abuse Screening Tool Children's Version (ICAST-C): Instrument development and multi-national pilot testing,Wandera                    Stephen Ojiambo,8,,2009,,,,PMC5458732, ,
research-article,Horton                 Siobhan,,BMC Palliative Care,1472-684X,Routledge,Research Article,Planning for end of life care within lay-led chronic illness self-managment training: the significance of 'death awareness' and biographial context in participant accounts,Abba,3,,2008,"St Luke's Hospice, Cheshire",St Luke's Hospice Cheshire,,PMC6407206, ,
research-article,Lo                 Y.M. Dennis,,Prenatal Diagnosis,1097-0223,BMJ Publishing Group Limited,Original Articles,Fragile X syndrome,Vong                    Joaquim S.L.,9,,2011,"The Chinese University of Hong Kong, (VCF2014021), Vice‐Chancellor's One‐Off Discretionary Fund, Hong Kong Research Grants Council Theme‐Based Research Scheme, T12‐403/15‐N",The Chinese University of Hong Kong,T12‐403/15‐N,PMC6619283, ,China
research-article,Williams                 Scott M.,,PLoS Genetics,1553-7404,University of Cambridge,Genetic Predisposition,Estimating the contribution of genetic variants to difference in incidence of disease between population groups,Rivas                    Manuel A.,61,,2012,"This study is supported in part by The Leona M. & Harry B. Helmsley Charitable Trust (, www.helmsleytrust.org, www.nih.gov",,,PMC5967709, ,
research-article,Lavrov                 Alexander V.,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Biomarker and competing endogenous RNA potential of tumor-specific long noncoding RNA in chromophobe renal cell carcinoma,Yakushina                    Valentina D.,4,,2016,,Research Centre for Medical Genetics,,PMC8373968, ,
research-article,Guan                 Xin-Yuan,,PLoS ONE,1932-6203,Public Library of Science,Research Article,The oncogenetic role of microRNA-31 as a potential biomarker in oesophageal squamous cell carcinoma,Wu                    Bingli,14,,2011,"This work was supported by grants from the NSFC-GuangDong Joint Fund (U0932001), the National Basic Research Program (2012CB526608), the National High Technology Research and Development Program of China (2012AA02A503 and 2012AA02A209), the National Science Foundation of China (30900560, 61170154 and 31200996) and the Foundation for Distinguished Young Talents in Higher Education of Guangdong (LYM09081). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3764179, ,
research-article,Liu                 Han,,Cancer Science,1349-7006,John Wiley and Sons Inc.,"Cell, Molecular, and Stem Cell Biology",Exosomes play a role in multiple myeloma bone disease and tumor development by targeting osteoclasts and osteoblasts,Ge                    Maolin,5,,2018,"Shanghai Municipal Health Commission, 2019CXJQ01, Samuel Waxman Cancer Research Foundation, Collaborative Innovation Center of Hematology, Shanghai Municipal Education Commission Gaofeng Clinical Medicine Grant, 20161304, National Key Research and Development Program of China, 2018YFA0107802, Program of Shanghai Academic/Technology Research Leader, 19XD1402500, National Natural Science Foundation of China, 81973996, 81570119",Shanghai Jiao Tong University,81570119,PMC7156829, ,China
research-article,Takiguchi                 Yuichi,,Oncology Reports,1791-2431,D.A. Spandidos,Articles,Role of IGFBP7 in diabetic nephropathy: TGF-β1 induces IGFBP7 via Smad2/4 in human renal proximal tubular epithelial cells,Fan                    Mengmeng,10,,2016,"Ministry of Education, Culture, Sports, Science and Technology in Japan, 17K09647, 20K08561, Kanto Academic Alliance for Fostering Cancer Professionals, The present study was financially supported by grants from the Ministry of Education, Culture, Sports, Science and Technology in Japan (Kiban-C grant nos. 17K09647 and 20K08561), and the Kanto Academic Alliance for Fostering Cancer Professionals. The abstract was presented at the 111rd Annual Meeting of the American Association for Cancer research; June 22-24 2020 in a virtual meeting, and published as abstract no. 2580 in Cancer Res 80 (Suppl 16): 2580.",,20K08561,PMC8600417, ,
research-article,Zhang                 Xianwei,,Journal of Pain Research,1178-7090,Dove Medical Press,Original Research,Assessment of cognitive and adaptive behaviour among individuals with congenital insensitivity to pain and anhidrosis,Li                    Ningbo,11,,2010,,,,PMC6348974, ,
