last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Slager                    Susan L.,,,BMC Bioinformatics,BioMed Central,The missing indels: an estimate of indel variation in a human genome and analysis of factors that impede detection,Tian                    Shulan,4,,2015
Devi                    Runi,,,Indian Journal of Endocrinology and Metabolism,Medknow Publications & Media Pvt Ltd,Prediction of declining renal function and albuminuria in patients with type 2 diabetes by metabolomics,Agarwal                    Sandeep Kumar,4,"Department of Endocrinology, Gauhati Medical College and Hospital, Guwahati, Assam, India",2016
Li,        Cloud Computing in Google Earth Engine for Remote Sensing       ,,Ieee Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Futures Daily,Spring investigation of sugarcane planting in Guangxi in 2020,,9,,2019
Osorio                    Fabiola,          Basic         ,,European Journal of Immunology,John Wiley and Sons Inc.,Guidelines for the use of flow cytometry and cell sorting in immunological studies (third edition),García‐González                    Paulina,5,,2021
Sicotte                    Claude,        Study Protocol       ,,BMC Health Services Research,"Thousand Oaks, CA: Sage Publications","Use of virtual slide system for quick frozen intra-operative telepathology diagnosis in Kyoto, Japan",Trudel                    Marie-Claude,4,,2008
Falk                    Martin,,,Computational and Structural Biotechnology Journal,Humana Press,ATM signaling facilitates repair of DNA double-strand breaks associated with heterochromatin,Vicar                    Tomas,7,,2008
Devries                    Karen,,,Child Abuse & Neglect,World Health Organization,ISPCAN Child Abuse Screening Tool Children's Version (ICAST-C): Instrument development and multi-national pilot testing,Wandera                    Stephen Ojiambo,8,,2009
Horton                    Siobhan,,,BMC Palliative Care,Routledge,Planning for end of life care within lay-led chronic illness self-managment training: the significance of 'death awareness' and biographial context in participant accounts,Abba,3,,2008
Lo                    Y.M. Dennis,,,Prenatal Diagnosis,BMJ Publishing Group Limited,Fragile X syndrome,Vong                    Joaquim S.L.,9,,2011
Williams                    Scott M.,           Genetic Predisposition          ,,PLoS Genetics,University of Cambridge,Estimating the contribution of genetic variants to difference in incidence of disease between population groups,Rivas                    Manuel A.,61,,2012
Lavrov                    Alexander V.,,,Scientific Reports,Nature Publishing Group UK,Biomarker and competing endogenous RNA potential of tumor-specific long noncoding RNA in chromophobe renal cell carcinoma,Yakushina                    Valentina D.,4,,2016
Guan                    Xin-Yuan,,,PLoS ONE,Public Library of Science,The oncogenetic role of microRNA-31 as a potential biomarker in oesophageal squamous cell carcinoma,Wu                    Bingli,14,,2011
